Marca temporal,"1.- Datos demográficos del cliente
¿Qué edad tiene?:",2.- Género:,3.- ¿Qué nivel educativo tiene?,4.- ¿Cuántos miembros compone su familia?,5.- ¿Con qué frecuencia conduce?,6.- ¿Qué tipo de carreteras utiliza con más frecuencia?,7.- ¿Con qué frecuencia conduce por la noche?,8.- ¿Qué tan preocupado está por la seguridad de sus vehículos y activos?,9.- ¿Ha sido víctima de algún robo o hurto en los últimos 5 años?,10.- ¿Qué le motiva a comprar un servicio de rastreo satelital?,"11.- Si tuviera Ud. Rastreo Satelital, ¿Qué considera importante rastrear?",12.- ¿Con qué frecuencia utilizaría el rastreo satelital?,13.- ¿Qué características del servicio de rastreo satelital son mas importantes para Ud.?,14.- ¿Cómo Ud se enteró que existe el servicio de rastreo satelital?,15.- ¿Qué otras soluciones de seguridad utiliza en su vehículo?,16.- ¿Qué considera Ud. que necesita una aplicación móvil para rastrear vehículos y activos?,17.- ¿Qué tipo de beneficios busca al utilizar un servicio de rastreo satelital?,18.- ¿Ha recibido alguna vez alertas de seguridad o emergencias relacionadas con su ubicación?,19.- ¿Conoce Ud. el proceso para adquirir un servicio de rastreo satelital?,20.- ¿Prefiere comprar el rastreo satelital en efectivo o a crédito?,21.- ¿Ha tenido alguna vez problemas con el robo o la pérdida de sus vehículos?,22.- ¿Qué tan importante es para usted tener acceso a la información en tiempo real sobre la ubicación de sus vehículos o activos?,23.- ¿Qué empresas de rastreo satelital conoce?
2024/05/01 7:51:26 p. m. GMT-5,35 a 44 años,Femenino,Secundaria,4-6 miembros,Diariamente,Bus,Ocasionalmente,Preocupado,Si,Control,Rastreo de vehículos;Rastreo de personas,Diariamente,Precisión de rastreo,Recomendación de un amigo o familiar,Sistemas de alarma;Cámaras de seguridad,GPS Tracker – Video tracking,Alertas de emergencia,No,No,Crédito,No,Importartante,Hunter
2024/05/01 7:35:04 p. m. GMT-5,25 a 35 años,Masculino,Posgrado,4-6 miembros,Diariamente,Calles urbanas,Nunca,Preocupado,No,Seguridad,Rastreo de vehículos,Diariamente,Precisión de rastreo,Recomendación de un amigo o familiar,Sistemas de alarma,GPS Tracker – Video tracking,Protección de sus vehículos,Si,Si,Efectivo,Si,Importartante,Ninguna 
2024/05/01 7:32:14 p. m. GMT-5,35 a 44 años,Femenino,Posgrado,1-3 miembros,Menos de una vez a la semana,Bus,Ocasionalmente,Preocupado,No,Seguridad;Tranquilidad,Rastreo de vehículos;Rastreo de personas,Diariamente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios,Recomendación de un amigo o familiar,Sistemas de alarma,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real,No,No,Efectivo,No,Importartante,Hunter 
2024/05/03 1:10:23 p. m. GMT-5,45 a 54 años,Masculino,Técnico,1-3 miembros,Diariamente,Calles urbanas,Varias veces a la semana,Neutral,No,Control,Rastreo de vehículos,Semanalmente,Precios y Beneficios,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma,Compartir ubicación en tiempo real,Monitoreo en tiempo real,No,Si,Crédito,No,Poco Importante,Ningún 
2024/05/01 4:53:50 p. m. GMT-5,25 a 35 años,Femenino,Universitario,1-3 miembros,Diariamente,Autopistas,Nunca,Preocupado,No,Tranquilidad,Rastreo de vehículos,Diariamente,Precisión de rastreo,Publicidad en redes sociales o plataformas digitales,Ninguna,GPS Tracker – Video tracking,Monitoreo en tiempo real,No,Si,Crédito,Si,Importartante,Rastreo 365
2024/05/01 7:33:28 p. m. GMT-5,45 a 54 años,Femenino,Universitario,1-3 miembros,Varias veces a la semana,Calles urbanas,Nunca,Nada Preocupado,No,Seguridad,Rastreo de vehículos,Diariamente,Precisión de rastreo,Recomendación de un amigo o familiar,Sistemas de alarma,GPS Tracker – Video tracking,Protección de sus vehículos,No,No,Crédito,No,Importartante,Ninguna
2024/05/01 5:00:05 p. m. GMT-5,45 a 54 años,Masculino,Universitario,1-3 miembros,Una vez a la semana,Calles urbanas,Nunca,Preocupado,No,Seguridad,Rastreo de vehículos,Mensualmente,Precisión de rastreo,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma,GPS Tracker – Video tracking,Protección de sus vehículos,No,Si,Efectivo,No,Importartante,Rastreo 365
2024/05/01 8:38:14 p. m. GMT-5,35 a 44 años,Masculino,Técnico,4-6 miembros,Diariamente,Bus,Ocasionalmente,Preocupado,Si,Seguridad,Rastreo de vehículos;Rastreo de personas,Diariamente,Precisión de rastreo;Precios y Beneficios,Recomendación de un amigo o familiar,Sistemas de alarma,GPS Tracker – Video tracking,Protección de sus vehículos,No,Si,Crédito,Si,Importartante,Hunter
2024/05/02 9:30:53 p. m. GMT-5,45 a 54 años,Masculino,Posgrado,4-6 miembros,Varias veces a la semana,Bus,Varias veces a la semana,Preocupado,Si,Seguridad;Tranquilidad;Control,Rastreo de vehículos;Rastreo de personas,Diariamente,Precisión de rastreo;Facilidad de uso;Funciones de los informes;Precios y Beneficios;Atención al cliente,Recomendación de un amigo o familiar,Sistemas de alarma;GPS inalámbrico independiente,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia;Informes detallados;Geocercas e Imágenes en 3D,Si,No,Efectivo,No,Importartante,Hunter
2024/05/01 7:50:31 p. m. GMT-5,45 a 54 años,Masculino,Secundaria,4-6 miembros,Diariamente,Calles urbanas,Diariamente,Preocupado,No,Seguridad,Rastreo de vehículos,Anualmente,Precisión de rastreo,Recomendación de un amigo o familiar,Sistemas de alarma,GPS Tracker – Video tracking,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia;Informes detallados,No,Si,Efectivo,No,Importartante,latina 
2024/05/06 6:01:06 p. m. GMT-5,35 a 44 años,Masculino,Técnico,1-3 miembros,Diariamente,Bus,Diariamente,Preocupado,Si,Seguridad,Rastreo de vehículos,Anualmente,Precisión de rastreo,Recomendación de un amigo o familiar,Sistemas de alarma;Cámaras de seguridad,GPS Tracker – Video tracking,Protección de sus vehículos,Si,No,Crédito,No,Importartante,Hunter
2024/05/01 8:41:29 p. m. GMT-5,45 a 54 años,Femenino,Universitario,4-6 miembros,Nunca,Calles urbanas,Nunca,Preocupado,No,Seguridad,Rastreo de personas,Diariamente,Facilidad de uso,Recomendación de un amigo o familiar,Ninguna,Compartir ubicación en tiempo real,Monitoreo en tiempo real,No,No,Crédito,No,Importartante,Hunter
2024/05/02 1:48:05 p. m. GMT-5,35 a 44 años,Femenino,Posgrado,1-3 miembros,Varias veces a la semana,Bus,Ocasionalmente,Preocupado,No,Seguridad;Tranquilidad,Rastreo de vehículos;Rastreo de personas,Anualmente,Precisión de rastreo;Facilidad de uso;Atención al cliente,Publicidad en redes sociales o plataformas digitales,Control de acceso automático y remoto,Compartir ubicación en tiempo real,Protección de sus vehículos;Alertas de emergencia,Si,No,Crédito,No,Importartante,ninguna
2024/05/02 2:31:55 p. m. GMT-5,45 a 54 años,Femenino,Secundaria,1-3 miembros,Diariamente,Autopistas,Ocasionalmente,Neutral,Si,Seguridad,Rastreo de vehículos;Rastreo de personas,Anualmente,Precisión de rastreo,Recomendación de un amigo o familiar,Sistemas de alarma,GPS Tracker – Video tracking,Protección de sus vehículos,Si,Si,Efectivo,No,Importartante,Continental 
2024/05/02 7:10:50 a. m. GMT-5,35 a 44 años,Femenino,Universitario,4-6 miembros,Diariamente,Calles urbanas,Ocasionalmente,Preocupado,Si,Seguridad;Tranquilidad,Rastreo de vehículos;Rastreo de personas,Diariamente,Precisión de rastreo;Facilidad de uso;Funciones de los informes;Precios y Beneficios;Atención al cliente,Recomendación de un amigo o familiar,Sistemas de alarma,GPS Tracker – Video tracking,Protección de sus vehículos;Alertas de emergencia,No,No,Crédito,Si,Importartante,"No recuerdo el nombre, solo me informaron de una"
2024/05/05 11:53:04 a. m. GMT-5,45 a 54 años,Femenino,Universitario,4-6 miembros,Menos de una vez a la semana,Bus,Ocasionalmente,Neutral,No,Seguridad,Rastreo de vehículos;Rastreo de mercadería;Rastreo de personas,Anualmente,Precisión de rastreo;Facilidad de uso;Funciones de los informes;Precios y Beneficios;Atención al cliente,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma;Cámaras de seguridad,GPS Tracker – Video tracking,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia;Informes detallados,No,Si,Efectivo,No,Importartante,Hunter
2024/05/01 8:21:57 p. m. GMT-5,25 a 35 años,Masculino,Secundaria,1-3 miembros,Diariamente,Bus,Varias veces a la semana,Neutral,Si,Control,Rastreo de vehículos,Diariamente,Precisión de rastreo,Publicidad en redes sociales o plataformas digitales,Ninguna,GPS Tracker – Video tracking,Protección de sus vehículos,Si,Si,Efectivo,Si,Importartante,Ninguna 
2024/05/01 7:45:53 p. m. GMT-5,45 a 54 años,Masculino,Secundaria,4-6 miembros,Diariamente,Calles urbanas,Varias veces a la semana,Neutral,No,Control,Rastreo de vehículos,Anualmente,Precios y Beneficios,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma,GPS Tracker – Video tracking,Monitoreo en tiempo real,No,Si,Crédito,No,Importartante,Sherlock 
2024/05/01 7:51:45 p. m. GMT-5,25 a 35 años,Masculino,Posgrado,1-3 miembros,Diariamente,Autopistas,Ocasionalmente,Preocupado,No,Seguridad,Rastreo de mercadería,Diariamente,Precisión de rastreo,Publicidad en redes sociales o plataformas digitales,GPS inalámbrico independiente,GPS Tracker – Video tracking,Protección de sus vehículos,No,Si,Efectivo,No,Importartante,Hunter 
2024/05/02 6:54:11 a. m. GMT-5,55 a 64 años,Femenino,Universitario,7 o más miembros,Diariamente,Calles urbanas,Varias veces a la semana,Neutral,No,Control,Rastreo de personas,Diariamente,Precisión de rastreo,Vía telefónica (Whatsapp),Sistemas de alarma,Compartir ubicación en tiempo real,Alertas de emergencia,No,No,Crédito,No,Importartante,Ninguna 
2024/05/01 8:28:55 p. m. GMT-5,45 a 54 años,Masculino,Posgrado,4-6 miembros,Diariamente,Calles urbanas,Varias veces a la semana,Preocupado,Si,Control,Rastreo de vehículos,Diariamente,Precisión de rastreo,Publicidad en redes sociales o plataformas digitales,Cámaras de seguridad,GPS Tracker – Video tracking,Protección de sus vehículos,No,No,Crédito,Si,Importartante,Hunter
2024/05/02 12:36:31 p. m. GMT-5,35 a 44 años,Masculino,Posgrado,4-6 miembros,Diariamente,Autopistas,Varias veces a la semana,Neutral,No,Seguridad,Rastreo de vehículos,Semanalmente,Precisión de rastreo,"Publicidad en radio, tv, prensa",Sistemas de alarma,Compartir ubicación en tiempo real,Protección de sus vehículos,Si,Si,Crédito,No,Importartante,"Hunter, Carlink"
2024/05/06 8:46:16 p. m. GMT-5,55 a 64 años,Masculino,Básico,4-6 miembros,Diariamente,Bus,Varias veces a la semana,Preocupado,No,Seguridad;Tranquilidad,Rastreo de vehículos;Rastreo de mercadería,Diariamente,Facilidad de uso,"Publicidad en radio, tv, prensa",Ninguna,GPS Tracker – Video tracking,Monitoreo en tiempo real,No,No,Efectivo,Si,Importartante,Ninguna
2024/05/01 8:40:05 p. m. GMT-5,35 a 44 años,Masculino,Posgrado,4-6 miembros,Una vez a la semana,Bus,Ocasionalmente,Preocupado,No,Seguridad;Control,Rastreo de vehículos;Rastreo de personas,Diariamente,Precisión de rastreo;Precios y Beneficios,"Publicidad en radio, tv, prensa",Sistemas de alarma,GPS Tracker – Video tracking,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia,No,No,Crédito,No,Importartante,Tracklink
2024/05/01 7:46:44 p. m. GMT-5,35 a 44 años,Femenino,Universitario,4-6 miembros,Menos de una vez a la semana,Calles urbanas,Ocasionalmente,Preocupado,No,Seguridad,Rastreo de vehículos,Diariamente,Precisión de rastreo;Funciones de los informes,Recomendación de un amigo o familiar,Sistemas de alarma,Compartir ubicación en tiempo real,Protección de sus vehículos,Si,Si,Efectivo,No,Importartante,Satrack
2024/05/01 5:23:39 p. m. GMT-5,45 a 54 años,Masculino,Secundaria,4-6 miembros,Varias veces a la semana,Bus,Ocasionalmente,Neutral,Si,Control,Rastreo de vehículos,Mensualmente,Facilidad de uso;Precios y Beneficios,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma,Imágenes en 3D,Monitoreo en tiempo real;Informes detallados,No,No,Efectivo,Si,Poco Importante,Ninguna 
2024/05/02 1:29:15 p. m. GMT-5,35 a 44 años,Masculino,Posgrado,1-3 miembros,Diariamente,Bus,Varias veces a la semana,Neutral,No,Seguridad,Rastreo de vehículos,Semanalmente,Precios y Beneficios;Atención al cliente,Publicidad en redes sociales o plataformas digitales,Ninguna,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia,No,No,Crédito,No,Poco Importante,Hunter
2024/05/27 10:21:04 a. m. GMT-5,35 a 44 años,Masculino,Universitario,1-3 miembros,Diariamente,Carreteras secundarias,Varias veces a la semana,Preocupado,Si,Seguridad;Control,Rastreo de vehículos;Rastreo de personas,Diariamente,Facilidad de uso;Precios y Beneficios,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma;Cámaras de seguridad;GPS inalámbrico independiente,GPS Tracker – Video tracking,Protección de sus vehículos;Alertas de emergencia,Si,No,Crédito,Si,Importartante,Hunter
2024/05/01 7:56:51 p. m. GMT-5,45 a 54 años,Masculino,Bachillerato,1-3 miembros,Varias veces a la semana,Bus,Ocasionalmente,Preocupado,Si,Seguridad,Rastreo de vehículos,Diariamente,Precisión de rastreo,Precisión de rastreo,Sistemas de alarma,GPS Tracker – Video tracking,Monitoreo en tiempo real,Si,No,Crédito,Si,Importartante,Hunter
2024/05/01 8:59:37 p. m. GMT-5,35 a 44 años,Femenino,Universitario,1-3 miembros,Nunca,Bus,Nunca,Preocupado,No,Seguridad,Carros y personas,Diariamente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios,Recomendación de un amigo o familiar,Sistemas de alarma,GPS Tracker – Video tracking,Protección de sus vehículos,Si,No,Efectivo,No,Importartante,Ninguna 
2024/05/02 1:27:01 p. m. GMT-5,45 a 54 años,Masculino,Posgrado,1-3 miembros,Diariamente,Calles urbanas,Varias veces a la semana,Preocupado,Si,Requerimiento de la compañía de seguros.,Rastreo de vehículos;Rastreo de mercadería;Monitoreo de Flotas,Semanalmente,Facilidad de uso;Precios y Beneficios,Publicidad en redes sociales o plataformas digitales,Ninguna,Compartir ubicación en tiempo real,Protección de sus vehículos,No,Si,Crédito,No,Importartante,"Tracklink, Hunter"
2024/05/01 7:40:55 p. m. GMT-5,45 a 54 años,Masculino,Bachillerato,1-3 miembros,Varias veces a la semana,Bus,Ocasionalmente,Preocupado,Si,Seguridad,Rastreo de vehículos,Diariamente,Precisión de rastreo,Precisión de rastreo,Sistemas de alarma,GPS Tracker – Video tracking,Monitoreo en tiempo real,Si,No,Crédito,Si,Importartante,Hunter
2024/05/03 11:35:27 a. m. GMT-5,45 a 54 años,Masculino,Técnico,4-6 miembros,Diariamente,Bus,Diariamente,Preocupado,Si,Seguridad,Rastreo de vehículos;Rastreo de mercadería;Rastreo de personas,Diariamente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios;Atención al cliente,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma;GPS inalámbrico independiente,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia,Si,Si,Crédito,Si,Importartante,Hunter Norris
2024/05/02 1:22:54 a. m. GMT-5,25 a 35 años,Masculino,Posgrado,1-3 miembros,Menos de una vez a la semana,Bus,Nunca,Preocupado,No,Seguridad,Rastreo de vehículos;Rastreo de mercadería;Monitoreo de Flotas,Diariamente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios,Recomendación de un amigo o familiar,Sistemas de alarma,GPS Tracker – Video tracking,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia,No,No,Crédito,No,Importartante,Hunter
2024/05/02 8:00:00 p. m. GMT-5,45 a 54 años,Masculino,Secundaria,4-6 miembros,Diariamente,Bus,Diariamente,Preocupado,No,Seguridad,Rastreo de vehículos,Anualmente,Facilidad de uso,Precisión de rastreo,Sistemas de alarma,Compartir ubicación en tiempo real,Protección de sus vehículos,No,No,Crédito,No,Importartante,Hunter
2024/05/02 2:58:39 p. m. GMT-5,45 a 54 años,Masculino,Posgrado,1-3 miembros,Varias veces a la semana,Bus,Nunca,Preocupado,Si,Control,Rastreo de vehículos,Diariamente,Precisión de rastreo,"Publicidad en radio, tv, prensa",Sistemas de alarma,GPS Tracker – Video tracking,Protección de sus vehículos,No,No,Efectivo,No,Importartante,Satlink
2024/05/01 9:44:09 p. m. GMT-5,35 a 44 años,Masculino,Secundaria,4-6 miembros,Diariamente,Caminos rurales,Ocasionalmente,Preocupado,No,Seguridad,Rastreo de vehículos,Diariamente,Precisión de rastreo,Publicidad en redes sociales o plataformas digitales,Ninguna,Compartir ubicación en tiempo real,Monitoreo en tiempo real,No,Si,Crédito,No,Importartante,Hunter
2024/05/02 12:38:34 p. m. GMT-5,45 a 54 años,Masculino,Secundaria,4-6 miembros,Diariamente,Autopistas,Ocasionalmente,Preocupado,No,Seguridad,Rastreo de vehículos,Diariamente,Facilidad de uso,"Publicidad en radio, tv, prensa",Ninguna,Imágenes en 3D,Alertas de emergencia,No,No,Crédito,No,Importartante,Ninguna 
2024/05/02 12:45:56 p. m. GMT-5,35 a 44 años,Femenino,Posgrado,1-3 miembros,Diariamente,Autopistas,Diariamente,Preocupado,No,Seguridad;Tranquilidad,Rastreo de vehículos;Rastreo de personas,Anualmente,Precisión de rastreo;Facilidad de uso;Atención al cliente,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma;GPS inalámbrico independiente,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real,No,No,Crédito,Si,Importartante,hunter
2024/05/02 8:35:48 p. m. GMT-5,35 a 44 años,Masculino,Posgrado,1-3 miembros,Diariamente,Calles urbanas,Varias veces a la semana,Preocupado,No,Seguridad,Rastreo de personas,Diariamente,Precisión de rastreo,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma,Compartir ubicación en tiempo real,Monitoreo en tiempo real,No,No,Efectivo,No,Importartante,"Ninguna (Un gusto ayudarte con tu proyecto de grado, felicidades por tu posgrado)"
2024/05/08 2:30:13 p. m. GMT-5,35 a 44 años,Masculino,Secundaria,4-6 miembros,Menos de una vez a la semana,Autopistas,Ocasionalmente,Preocupado,No,No vale ,No vale ,Anualmente,No vale ,No vale ,Sistemas de alarma,Compartir ubicación en tiempo real,No vale ,No,Si,No vale ,Si,Importartante,Chey estar 
2024/05/01 9:39:53 p. m. GMT-5,25 a 35 años,Femenino,Universitario,4-6 miembros,Diariamente,Calles urbanas,Diariamente,Preocupado,No,Seguridad,Rastreo de vehículos;Rastreo de mercadería;Rastreo de personas,Semanalmente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios,Recomendación de un amigo o familiar,Sistemas de alarma,Compartir ubicación en tiempo real,Protección de sus vehículos;Alertas de emergencia,No,No,Crédito,No,Importartante,Ninguno
2024/05/02 9:47:12 a. m. GMT-5,25 a 35 años,Femenino,Universitario,1-3 miembros,Una vez a la semana,Carreteras secundarias,Ocasionalmente,Preocupado,Si,Seguridad;Eficiencia,Rastreo de vehículos;Rastreo de personas,Mensualmente,Facilidad de uso;Precios y Beneficios,Recomendación de un amigo o familiar,Cámaras de seguridad;GPS inalámbrico independiente,Compartir ubicación en tiempo real,Alertas de emergencia,Si,No,Efectivo,No,Importartante,Hunter
2024/05/01 8:10:07 p. m. GMT-5,45 a 54 años,Masculino,Bachillerato,4-6 miembros,Diariamente,Bus,Varias veces a la semana,Preocupado,Si,Seguridad;Tranquilidad,Rastreo de vehículos;Rastreo de mercadería;Rastreo de personas,Diariamente,Precisión de rastreo;Facilidad de uso;Funciones de los informes,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma;Cámaras de seguridad;Control de acceso automático y remoto;GPS inalámbrico independiente,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real,Si,Si,Crédito,No,Importartante,Carseg
2024/05/06 11:43:54 p. m. GMT-5,25 a 35 años,Masculino,Universitario,4-6 miembros,Diariamente,Bus,Varias veces a la semana,Preocupado,No,Seguridad;Tranquilidad;Control;Eficiencia,Rastreo de vehículos;Monitoreo de Flotas,Diariamente,Precisión de rastreo;Facilidad de uso;Funciones de los informes;Precios y Beneficios;Atención al cliente,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma;Control de acceso automático y remoto,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia;Informes detallados;Geocercas e Imágenes en 3D,No,Si,Efectivo,No,Importartante,Traker
2024/05/01 7:32:03 p. m. GMT-5,45 a 54 años,Femenino,Universitario,1-3 miembros,Diariamente,Carreteras secundarias,Ocasionalmente,Preocupado,Si,Seguridad,Rastreo de vehículos;Rastreo de personas,Diariamente,Precisión de rastreo;Precios y Beneficios,Vía telefónica (Whatsapp),Sistemas de alarma;Cámaras de seguridad;GPS inalámbrico independiente,GPS Tracker – Video tracking,Monitoreo en tiempo real;Alertas de emergencia,No,Si,Efectivo,No,Importartante,Keeper
2024/05/02 10:10:03 p. m. GMT-5,35 a 44 años,Femenino,Secundaria,4-6 miembros,Diariamente,Bus,Varias veces a la semana,Preocupado,Si,Control,Rastreo de vehículos,Anualmente,Precisión de rastreo,Por compra de carro ,Ninguna,GPS Tracker – Video tracking,Protección de sus vehículos,No,Si,Efectivo,Si,Importartante,Trac clin
2024/05/02 6:43:08 p. m. GMT-5,25 a 35 años,Masculino,Universitario,4-6 miembros,Varias veces a la semana,Bus,Varias veces a la semana,Preocupado,Si,Seguridad;Tranquilidad,Rastreo de vehículos;Rastreo de mercadería;Rastreo de personas,Semanalmente,Facilidad de uso;Precios y Beneficios;Atención al cliente,Recomendación de un amigo o familiar,Sistemas de alarma;Control de acceso automático y remoto;GPS inalámbrico independiente,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real;Informes detallados;Geocercas e Imágenes en 3D,Si,Si,Crédito,No,Importartante,Tracklin
2024/05/02 12:41:19 p. m. GMT-5,25 a 35 años,Masculino,Universitario,7 o más miembros,Diariamente,Bus,Diariamente,Neutral,No,Seguridad,Rastreo de vehículos,Diariamente,Precisión de rastreo;Precios y Beneficios;Atención al cliente,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma;Cámaras de seguridad,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia,Si,Si,Efectivo,Si,Importartante,Hunter
2024/05/02 12:37:36 p. m. GMT-5,25 a 35 años,Femenino,Posgrado,1-3 miembros,Diariamente,Autopistas,Varias veces a la semana,Neutral,No,Seguridad;Tranquilidad,Rastreo de vehículos;Rastreo de personas,Diariamente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios,Publicidad en redes sociales o plataformas digitales,Ninguna,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real,No,No,Crédito,No,Importartante,HUNTER
2024/05/03 6:05:23 a. m. GMT-5,35 a 44 años,Masculino,Posgrado,4-6 miembros,Diariamente,Calles urbanas,Ocasionalmente,Preocupado,Si,Seguridad;Tranquilidad;Control;Eficiencia,Rastreo de vehículos;Rastreo de mercadería;Rastreo de personas;Monitoreo de Flotas,Diariamente,Precisión de rastreo;Facilidad de uso;Funciones de los informes;Precios y Beneficios;Atención al cliente,Publicidad en redes sociales o plataformas digitales,Ninguna,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia;Informes detallados;Geocercas e Imágenes en 3D,No,No,Crédito,Si,Importartante,Ninguna 
2024/05/03 6:34:06 p. m. GMT-5,45 a 54 años,Masculino,Universitario,4-6 miembros,Diariamente,Bus,Diariamente,Preocupado,No,Control,Rastreo de vehículos;Rastreo de personas,Diariamente,Precisión de rastreo;Facilidad de uso,"Publicidad en radio, tv, prensa",Sistemas de alarma;Control de acceso automático y remoto,Compartir ubicación en tiempo real,Monitoreo en tiempo real,No,Si,Crédito,Si,Importartante,Escuchado comerciales sin poner atención en el nombre 
2024/05/01 8:38:51 p. m. GMT-5,45 a 54 años,Masculino,Técnico,4-6 miembros,Diariamente,Bus,Varias veces a la semana,Preocupado,Si,Seguridad;Tranquilidad;Control;Eficiencia,Rastreo de vehículos;Rastreo de mercadería;Rastreo de personas;Monitoreo de Flotas,Diariamente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios,"Publicidad en radio, tv, prensa",Sistemas de alarma;GPS inalámbrico independiente,GPS Tracker – Video tracking,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia;Informes detallados,No,No,Efectivo,No,Importartante,Chevy Star
2024/05/02 10:02:06 p. m. GMT-5,35 a 44 años,Femenino,Posgrado,1-3 miembros,Diariamente,Autopistas,Diariamente,Neutral,No,Seguridad,Rastreo de vehículos,Diariamente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios;Atención al cliente,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma;Cámaras de seguridad;Control de acceso automático y remoto,GPS Tracker – Video tracking,Protección de sus vehículos;Monitoreo en tiempo real,No,No,Crédito,No,Importartante,Hunter
2024/05/01 7:39:23 p. m. GMT-5,35 a 44 años,Femenino,Posgrado,1-3 miembros,Diariamente,Bus,Diariamente,Preocupado,No,Seguridad,Rastreo de vehículos,Anualmente,Precisión de rastreo;Facilidad de uso;Funciones de los informes,Consesionario,GPS inalámbrico independiente,GPS Tracker – Video tracking,Protección de sus vehículos;Alertas de emergencia;Informes detallados,No,Si,Efectivo,No,Importartante,Hunter
2024/05/01 8:22:52 p. m. GMT-5,35 a 44 años,Femenino,Universitario,1-3 miembros,Diariamente,Bus,Ocasionalmente,Preocupado,Si,Seguridad;Tranquilidad,Rastreo de vehículos,Diariamente,Precisión de rastreo;Precios y Beneficios,Recomendación de un amigo o familiar,Sistemas de alarma;Cámaras de seguridad,GPS Tracker – Video tracking,Protección de sus vehículos,Si,Si,Efectivo,Si,Importartante,Hunter
2024/05/02 1:54:31 p. m. GMT-5,35 a 44 años,Femenino,Posgrado,4-6 miembros,Diariamente,Bus,Varias veces a la semana,Preocupado,No,Seguridad;Tranquilidad,Rastreo de personas,Diariamente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios,Recomendación de un amigo o familiar,Sistemas de alarma,Compartir ubicación en tiempo real,Protección de sus vehículos;Alertas de emergencia,No,No,Crédito,Si,Poco Importante,desconozco 
2024/05/01 7:46:21 p. m. GMT-5,25 a 35 años,Femenino,Posgrado,1-3 miembros,Diariamente,Calles urbanas,Ocasionalmente,Preocupado,No,Tranquilidad,Rastreo de vehículos;Rastreo de personas,Semanalmente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios;Atención al cliente,Vía telefónica (Whatsapp),Ninguna,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia,Si,Si,Crédito,No,Importartante,"Tracklink, Hunter "
2024/05/06 9:45:56 a. m. GMT-5,35 a 44 años,Masculino,Técnico,1-3 miembros,Diariamente,Bus,Ocasionalmente,Neutral,Si,Seguridad,Rastreo de vehículos,Diariamente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios,Publicidad en redes sociales o plataformas digitales,Ninguna,GPS Tracker – Video tracking,Protección de sus vehículos;Monitoreo en tiempo real,No,No,Efectivo,No,Importartante,Ninguna 
